Location,Day,Time,Ferry
Bell Island,Monday to Friday,5:30 AM,Veteran
Bell Island,Monday to Friday,6:45 AM,Veteran
Bell Island,Monday to Friday,8:00 AM,Flanders
Bell Island,Monday to Friday,8:30 AM,Veteran
Bell Island,Monday to Friday,10:00 AM,Veteran
Bell Island,Monday to Friday,11:00 AM,Flanders (DG - Tuesday)
Bell Island,Monday to Friday,12:10 PM,Flanders
Bell Island,Monday to Friday,12:45 PM,Veteran
Bell Island,Monday to Friday,2:15 PM,Veteran
Bell Island,Monday to Friday,3:45 PM,Veteran
Bell Island,Monday to Friday,4:30 PM,Flanders
Bell Island,Monday to Friday,5:15 PM,Veteran
Bell Island,Monday to Friday,6:00 PM,Flanders
Bell Island,Monday to Friday,7:00 PM,Flanders
Bell Island,Monday to Friday,8:30 PM,Flanders
Bell Island,Monday to Friday,10:00 PM,Flanders
Portugal Cove,Monday to Friday,6:00 AM,Veteran (DG - Tuesday)
Portugal Cove,Monday to Friday,7:30 AM,Veteran
Portugal Cove,Monday to Friday,8:30 AM,Flanders
Portugal Cove,Monday to Friday,9:15 AM,Veteran
Portugal Cove,Monday to Friday,10:30 AM,Veteran
Portugal Cove,Monday to Friday,11:35 PM,Flanders
Portugal Cove,Monday to Friday,12:45 PM,Flanders
Portugal Cove,Monday to Friday,1:30 PM,Veteran
Portugal Cove,Monday to Friday,3:00 PM,Veteran
Portugal Cove,Monday to Friday,4:30 PM,Veteran
Portugal Cove,Monday to Friday,5:15 PM,Flanders
Portugal Cove,Monday to Friday,6:00 PM,Veteran
Portugal Cove,Monday to Friday,6:30 PM,Flanders
Portugal Cove,Monday to Friday,7:30 PM,Flanders
Portugal Cove,Monday to Friday,9:10 PM,Flanders
Portugal Cove,Monday to Friday,10:35 PM,Flanders
Bell Island,Saturday,6:50 AM,Veteran
Bell Island,Saturday,8:00 AM,*Flanders Maintenance
Bell Island,Saturday,8:00 AM,Veteran
Bell Island,Saturday,9:15 AM,Veteran
Bell Island,Saturday,10:45 AM,Veteran
Bell Island,Saturday,1:15 PM,Flanders
Bell Island,Saturday,2:00 PM,Veteran
Bell Island,Saturday,2:45 PM,Flanders
Bell Island,Saturday,3:30 PM,Veteran
Bell Island,Saturday,4:15 PM,Flanders
Bell Island,Saturday,5:00 PM,Veteran
Bell Island,Saturday,6:45 PM,Flanders
Bell Island,Saturday,8:30 PM,Flanders
Bell Island,Saturday,10:00 PM,Flanders
Portugal Cove,Saturday,7:20 AM,Veteran
Portugal Cove,Saturday,8:30 AM,Veteran
Portugal Cove,Saturday,10:00 AM,Veteran
Portugal Cove,Saturday,11:45 PM,Veteran
Portugal Cove,Saturday,2:00 PM,Flanders
Portugal Cove,Saturday,2:45 PM,Veteran
Portugal Cove,Saturday,3:30 PM,Flanders
Portugal Cove,Saturday,4:15 PM,Veteran
Portugal Cove,Saturday,5:00 PM,Flanders
Portugal Cove,Saturday,6:15 PM,Veteran
Portugal Cove,Saturday,7:30 PM,Flanders
Portugal Cove,Saturday,9:10 PM,Flanders
Portugal Cove,Saturday,10:35 PM,Flanders
Bell Island,Sunday,6:50 AM,Flanders
Bell Island,Sunday,8:00 AM,*Veteran Maintenance
Bell Island,Sunday,8:00 AM,Flanders
Bell Island,Sunday,9:10 AM,Flanders
Bell Island,Sunday,10:20 AM,Flanders
Bell Island,Sunday,11:30 AM,Flanders
Bell Island,Sunday,12:15 PM,Veteran
Bell Island,Sunday,1:45 PM,Veteran
Bell Island,Sunday,3:15 PM,Veteran
Bell Island,Sunday,4:00 PM,Flanders
Bell Island,Sunday,5:30 PM,Flanders
Bell Island,Sunday,6:15 PM,Veteran
Bell Island,Sunday,8:30 PM,Flanders
Bell Island,Sunday,10:00 PM,Flanders
Portugal Cove,Sunday,7:25 AM,Flanders
Portugal Cove,Sunday,8:35 AM,Flanders
Portugal Cove,Sunday,9:45 AM,Flanders
Portugal Cove,Sunday,10:55 AM,Flanders
Portugal Cove,Sunday,12:05 PM,Flanders
Portugal Cove,Sunday,1:00 PM,Veteran
Portugal Cove,Sunday,2:30 PM,Veteran
Portugal Cove,Sunday,4:00 PM,Veteran
Portugal Cove,Sunday,4:45 PM,Flanders
Portugal Cove,Sunday,6:15 PM,Flanders
Portugal Cove,Sunday,7:00 PM,Veteran
Portugal Cove,Sunday,9:10 PM,Flanders
Portugal Cove,Sunday,10:35 PM,Flanders
